N,P,b,f,name,seed,time,R_wmu,R_muc,R_cw,agenda_cw,biased_cw,unbiased_cw,sign_cw,accessible_norm_fraction,agenda_C,mean_V,min_V,min_C_eigenvalue,psd_clips,z_floor_hits,v_floor_hits,realized_f
40,100,0.5,1.0,a_reference,202609110,0,-0.0014877288959757456,0.007612087463459997,0.004544046388728023,0.004544046388728026,0.004544046388728026,nan,0.001974358974358974,1.0000000000000004,1.0,1.0,1.0,1.0,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609110,125,0.9623867844827748,0.974957894867628,0.9871025951840168,0.9871025951840167,0.9871025951840167,nan,0.9990000000000001,0.9999999999999997,0.049977028942145924,0.07605999264282963,0.04097325608918401,0.012649089256645485,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609110,500,0.9844248541397945,0.9909462149039078,0.9934183290627276,0.9934183290627276,0.9934183290627276,nan,1.0,0.9999999999999997,0.02082377545400162,0.03475349140756988,0.017806748926033653,0.003967591232701748,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609110,1000,0.988922355976129,0.9942685163930957,0.9946226589046266,0.9946226589046266,0.9946226589046266,nan,1.0,0.9999999999999997,0.014036885936690027,0.02394532035590248,0.01211141214020041,0.0023110849119804978,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609110,2500,0.9922439688064185,0.9967761877733924,0.9954529355044096,0.9954529355044093,0.9954529355044093,nan,1.0,0.9999999999999994,0.00859271854705432,0.014751677923341897,0.007278821471336078,0.0011633110656609042,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609110,5000,0.993743617126729,0.9978820465180066,0.9958526704161986,0.9958526704161986,0.9958526704161986,nan,1.0,0.9999999999999997,0.006044046310807145,0.010258625126832116,0.004998491895515003,0.0007063234039275735,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609110,10000,0.9947170008017165,0.9985952850973605,0.9961161833607354,0.9961161833607354,0.9961161833607354,nan,1.0,0.9999999999999997,0.004313400077046109,0.007144539162504165,0.003451510259713106,0.00043395213403334213,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609111,0,-0.0011263693607101854,-0.008967010737212129,-0.003002529815127585,-0.0030025298151275756,-0.0030025298151275756,nan,-0.0038974358974358976,1.0000000000000004,1.0,1.0,1.0,1.0,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609111,125,0.9625263946025671,0.9739261113307388,0.9882916194558433,0.9882916194558434,0.9882916194558434,nan,0.9903846153846154,0.9999999999999993,0.05153795572395117,0.0745908373038543,0.03614473048806878,0.012958332176334861,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609111,500,0.9859236187288759,0.9906030800992166,0.9952756806071136,0.9952756806071136,0.9952756806071136,nan,1.0,0.9999999999999993,0.021193394310356377,0.03391622210861957,0.015418196005651082,0.004360486566763502,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609111,1000,0.9906281981684585,0.9940532146197486,0.9965542623348046,0.9965542623348046,0.9965542623348046,nan,1.0,0.9999999999999993,0.014063598772710668,0.023340917313022458,0.010063914044110573,0.0025235882749831567,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609111,2500,0.9940891821082168,0.9966556443797726,0.9974248182386956,0.9974248182386954,0.9974248182386954,nan,1.0,0.9999999999999993,0.008399242247273756,0.014367931885733298,0.006042926617786419,0.0012679774013053637,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609111,5000,0.9956305110162775,0.99780284979224,0.9978228126968983,0.9978228126968983,0.9978228126968983,nan,1.0,0.9999999999999993,0.005788472432270288,0.009988429883044677,0.004131764858752332,0.0007659170662673206,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609111,10000,0.9966296494516098,0.9985427969820074,0.9980840201708182,0.9980840201708183,0.9980840201708183,nan,1.0,0.9999999999999993,0.0040484392084286554,0.006954858815009853,0.0028059514564916757,0.0004752834741397041,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609112,0,-0.0003734606661455327,0.010991584517368704,0.0021347933022071997,0.0021347933022072088,0.0021347933022072088,nan,0.008871794871794873,0.9999999999999997,1.0,1.0,1.0,1.0,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609112,125,0.9575206278408867,0.974685813871829,0.9823853900340489,0.9823853900340492,0.9823853900340492,nan,0.9990000000000001,1.0,0.053187130175211816,0.07524298095582661,0.03955216935724822,0.012483533702109207,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609112,500,0.9820761837996377,0.9908628386156446,0.9911314788428804,0.9911314788428804,0.9911314788428804,nan,1.0,1.0,0.02251491762477099,0.034317597635905625,0.017619320921730623,0.004333993578483639,0,0,0,1.0
